x          y
10349.69   8493.49
8140.50    6121.04
5661.16    4348.47
4724.11    3941.87
5129.05    3927.75
5357.79    4356.06
4810.00    4020.87
4912.88    3824.44
11718.01   8868.19
6800.23    5323.18
9279.16    7020.22
6489.97    5022.00
4766.26    3830.71
5524.54    4644.50
6218.73    5218.79
9761.57    8016.91
5124.24    4276.67
4916.25    4126.47
5169.96    4185.73
5644.86    4422.93
